排名,球队,场次,胜,平,负,进/失球,净胜球,积分
🏆,尤文图斯,38,26,5,7,76/43,33,83
2,国际米兰,38,24,10,4,81/36,45,82
3,亚特兰大,38,23,9,6,98/48,50,78
4,拉齐奥,38,24,6,8,79/42,37,78
5,罗马,38,21,7,10,77/51,26,70
6,AC米兰,38,19,9,10,63/46,17,66
7,那不勒斯,38,18,8,12,61/50,11,62
8,萨索洛,38,14,9,15,69/63,6,51
9,维罗纳,38,12,13,13,47/51,-4,49
10,佛罗伦萨,38,12,13,13,51/48,3,49
11,帕尔马,38,14,7,17,56/57,-1,49
12,博洛尼亚,38,12,11,15,52/65,-13,47
13,乌迪内斯,38,12,9,17,37/51,-14,45
14,卡利亚里,38,11,12,15,52/56,-4,45
15,桑普多利亚,38,12,6,20,48/65,-17,42
16,都灵,38,11,7,20,46/68,-22,40
17,热那亚,38,10,9,19,47/73,-26,39
18,莱切,38,9,8,21,52/85,-33,35
19,布雷西亚,38,6,7,25,35/79,-44,25
20,斯帕尔,38,5,5,28,27/77,-50,20
